raw_id,doc_id,text,group_key,num_aspects,label_signature,aspects
1,sentfin_000001,SpiceJet to issue 6.4 crore warrants to promoters,spicejet to issue 64 crore warrants to promoters,1,neutral,"[{'term': 'SpiceJet', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
2,sentfin_000002,MMTC Q2 net loss at Rs 10.4 crore,mmtc q2 net loss at rs 104 crore,1,neutral,"[{'term': 'MMTC', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
3,sentfin_000003,"Mid-cap funds can deliver more, stay put: Experts",midcap funds can deliver more stay put experts,1,positive,"[{'term': 'Mid-cap funds', 'sentiment': 'positive', 'char_from': 0, 'char_to': 13, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
4,sentfin_000004,Mid caps now turn into market darlings,mid caps now turn into market darlings,1,positive,"[{'term': 'Mid caps', 'sentiment': 'positive', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
5,sentfin_000005,"Market seeing patience, if not conviction: Prakash Diwan",market seeing patience if not conviction prakash diwan,1,neutral,"[{'term': 'Market', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
6,sentfin_000006,Infosys: Will the strong volume growth sustain?,infosys will the strong volume growth sustain,1,neutral,"[{'term': 'Infosys', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 7, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
7,sentfin_000007,Hudco raises Rs 279 cr via tax-free bonds,hudco raises rs 279 cr via taxfree bonds,1,positive,"[{'term': 'Hudco', 'sentiment': 'positive', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
8,sentfin_000008,HOEC could retest 30-35 levels: Ashwani Gujral,hoec could retest 3035 levels ashwani gujral,1,neutral,"[{'term': 'HOEC', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
9,sentfin_000009,Gold shines on seasonal demand; Silver dull,gold shines on seasonal demand silver dull,2,negative+positive,"[{'term': 'Gold', 'sentiment': 'positive', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Silver', 'sentiment': 'negative', 'char_from': 32, 'char_to': 38, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
10,sentfin_000010,Genpact appoints Edward J Fitzpatrick as CFO,genpact appoints edward j fitzpatrick as cfo,1,neutral,"[{'term': 'Genpact', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 7, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
