S No.,Title,Decisions,Words,parsed_decisions,parse_issue,invalid_labels,num_invalid_labels,title_norm,decisions_norm,num_aspects,label_signature,title_key
85,Several small caps trading at eye-popping valuations,"{""small caps"": ""neutral""}",7,{'small caps': 'neutral'},,[],0,Several small caps trading at eye-popping valuations,{'small caps': 'neutral'},1,neutral,several small caps trading at eye-popping valuations
177,Pulses prices end steady in tight movements,"{""Pulses"": ""neutral""}",7,{'Pulses': 'neutral'},,[],0,Pulses prices end steady in tight movements,{'Pulses': 'neutral'},1,neutral,pulses prices end steady in tight movements
294,Manappuram Finance launches another public issue,"{""Manappuram Finance"": ""neutral""}",6,{'Manappuram Finance': 'neutral'},,[],0,Manappuram Finance launches another public issue,{'Manappuram Finance': 'neutral'},1,neutral,manappuram finance launches another public issue
295,Manappuram Finance launches another public issue,"{""Manappuram Finance"": ""neutral""}",6,{'Manappuram Finance': 'neutral'},,[],0,Manappuram Finance launches another public issue,{'Manappuram Finance': 'neutral'},1,neutral,manappuram finance launches another public issue
298,Madras Stock Exchange to close doors?,"{""Madras Stock Exchange"": ""neutral""}",6,{'Madras Stock Exchange': 'neutral'},,[],0,Madras Stock Exchange to close doors?,{'Madras Stock Exchange': 'neutral'},1,neutral,madras stock exchange to close doors?
310,Jyothy Laboratories rejigs top management,"{""Jyothy Laboratories"": ""neutral""}",5,{'Jyothy Laboratories': 'neutral'},,[],0,Jyothy Laboratories rejigs top management,{'Jyothy Laboratories': 'neutral'},1,neutral,jyothy laboratories rejigs top management
321,Stock-specific action likely on IT counters: Nitin Raheja,"{""IT"": ""neutral""}",8,{'IT': 'neutral'},,[],0,Stock-specific action likely on IT counters: Nitin Raheja,{'IT': 'neutral'},1,neutral,stock-specific action likely on it counters: nitin raheja
322,Stock-specific action likely on IT counters: Nitin Raheja,"{""IT"": ""neutral""}",8,{'IT': 'neutral'},,[],0,Stock-specific action likely on IT counters: Nitin Raheja,{'IT': 'neutral'},1,neutral,stock-specific action likely on it counters: nitin raheja
337,Mark Mobius expects 15-20% returns from Indian markets,"{""Indian markets"": ""neutral""}",8,{'Indian markets': 'neutral'},,[],0,Mark Mobius expects 15-20% returns from Indian markets,{'Indian markets': 'neutral'},1,neutral,mark mobius expects 15-20% returns from indian markets
338,Mark Mobius expects 15-20% returns from Indian markets,"{""Indian markets"": ""neutral""}",8,{'Indian markets': 'neutral'},,[],0,Mark Mobius expects 15-20% returns from Indian markets,{'Indian markets': 'neutral'},1,neutral,mark mobius expects 15-20% returns from indian markets
404,Euronext names new head of post-trade business,"{""Euronext"": ""neutral""}",7,{'Euronext': 'neutral'},,[],0,Euronext names new head of post-trade business,{'Euronext': 'neutral'},1,neutral,euronext names new head of post-trade business
409,Important support for EUR/USD lies at $1.3588/86,"{""EUR/USD"": ""neutral""}",7,{'EUR/USD': 'neutral'},,[],0,Important support for EUR/USD lies at $1.3588/86,{'EUR/USD': 'neutral'},1,neutral,important support for eur/usd lies at $1.3588/86
416,Dry fruit prices rule steady in tight movements,"{""Dry fruit"": ""neutral""}",8,{'Dry fruit': 'neutral'},,[],0,Dry fruit prices rule steady in tight movements,{'Dry fruit': 'neutral'},1,neutral,dry fruit prices rule steady in tight movements
433,Commexes extended trade hours hit a roadblock,"{""Commexes"": ""neutral""}",7,{'Commexes': 'neutral'},,[],0,Commexes extended trade hours hit a roadblock,{'Commexes': 'neutral'},1,neutral,commexes extended trade hours hit a roadblock
483,Stock-specific action likely; all eyes on Bank Nifty,"{""Bank Nifty"": ""neutral""}",8,{'Bank Nifty': 'neutral'},,[],0,Stock-specific action likely; all eyes on Bank Nifty,{'Bank Nifty': 'neutral'},1,neutral,stock-specific action likely; all eyes on bank nifty
620,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss","{""Edelweiss"": ""neutral""}",9,{'Edelweiss': 'neutral'},,[],0,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss",{'Edelweiss': 'neutral'},1,neutral,"march series may expire at 6,600-6,650: vishal kshatriya, edelweiss"
648,Noel N Tata takes over as chairman of Trent,"{""Trent"": ""neutral""}",9,{'Trent': 'neutral'},,[],0,Noel N Tata takes over as chairman of Trent,{'Trent': 'neutral'},1,neutral,noel n tata takes over as chairman of trent
649,Noel N Tata takes over as chairman of Trent,"{""Trent"": ""neutral""}",9,{'Trent': 'neutral'},,[],0,Noel N Tata takes over as chairman of Trent,{'Trent': 'neutral'},1,neutral,noel n tata takes over as chairman of trent
661,P Padmanabhan takes charge as MD Numaligarh Refinery Ltd,"{""Numaligarh Refinery Ltd"": ""neutral""}",9,{'Numaligarh Refinery Ltd': 'neutral'},,[],0,P Padmanabhan takes charge as MD Numaligarh Refinery Ltd,{'Numaligarh Refinery Ltd': 'neutral'},1,neutral,p padmanabhan takes charge as md numaligarh refinery ltd
662,P Padmanabhan takes charge as MD Numaligarh Refinery Ltd,"{""Numaligarh Refinery Ltd"": ""neutral""}",9,{'Numaligarh Refinery Ltd': 'neutral'},,[],0,P Padmanabhan takes charge as MD Numaligarh Refinery Ltd,{'Numaligarh Refinery Ltd': 'neutral'},1,neutral,p padmanabhan takes charge as md numaligarh refinery ltd
735,State government companies lure PFs with high-return bond issues,"{""State government companies"": ""neutral""}",9,{'State government companies': 'neutral'},,[],0,State government companies lure PFs with high-return bond issues,{'State government companies': 'neutral'},1,neutral,state government companies lure pfs with high-return bond issues
783,Yes Bank wrangle may be solved out of court,"{""Yes Bank"": ""neutral""}",9,{'Yes Bank': 'neutral'},,[],0,Yes Bank wrangle may be solved out of court,{'Yes Bank': 'neutral'},1,neutral,yes bank wrangle may be solved out of court
820,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,"{""Cisco"": ""neutral""}",10,{'Cisco': 'neutral'},,[],0,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,{'Cisco': 'neutral'},1,neutral,cisco rejigs india operations; appoints dinesh malkani as president sales
896,LSE partners with Chinese banks to promote London renminbi trading,"{""LSE"": ""neutral"", ""Chinese banks"": ""neutral""}",10,"{'LSE': 'neutral', 'Chinese banks': 'neutral'}",,[],0,LSE partners with Chinese banks to promote London renminbi trading,"{'LSE': 'neutral', 'Chinese banks': 'neutral'}",2,neutral,lse partners with chinese banks to promote london renminbi trading
922,NIF may turn co-plaintiff in Modern India suit against NSEL,"{""NSEL"": ""negative"", ""NIF"": ""neutral"", ""Modern India"": ""neutral""}",10,"{'NSEL': 'negative', 'NIF': 'neutral', 'Modern India': 'neutral'}",,[],0,NIF may turn co-plaintiff in Modern India suit against NSEL,"{'NSEL': 'negative', 'NIF': 'neutral', 'Modern India': 'neutral'}",3,negative+neutral,nif may turn co-plaintiff in modern india suit against nsel
923,NIF may turn co-plaintiff in Modern India suit against NSEL,"{""NSEL"": ""negative"", ""NIF"": ""neutral"", ""Modern India"": ""neutral""}",10,"{'NSEL': 'negative', 'NIF': 'neutral', 'Modern India': 'neutral'}",,[],0,NIF may turn co-plaintiff in Modern India suit against NSEL,"{'NSEL': 'negative', 'NIF': 'neutral', 'Modern India': 'neutral'}",3,negative+neutral,nif may turn co-plaintiff in modern india suit against nsel
930,Nifty's consolidated P/E makes Indian markets cheaper than its peers,"{""Nifty"": ""neutral""}",10,{'Nifty': 'neutral'},,[],0,Nifty's consolidated P/E makes Indian markets cheaper than its peers,{'Nifty': 'neutral'},1,neutral,nifty's consolidated p/e makes indian markets cheaper than its peers
932,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal","{""Nitin Fire Protection Industries"": ""neutral""}",10,{'Nitin Fire Protection Industries': 'neutral'},,[],0,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal",{'Nitin Fire Protection Industries': 'neutral'},1,neutral,"nitin fire protection industries expects rs 1,000-crore turnover this fiscal"
991,Shriram City to launch Rs 200-crore NCD on April 16,"{""Shriram City"": ""neutral""}",10,{'Shriram City': 'neutral'},,[],0,Shriram City to launch Rs 200-crore NCD on April 16,{'Shriram City': 'neutral'},1,neutral,shriram city to launch rs 200-crore ncd on april 16
1082,"Franklin Templeton buys record Rs 16,000-crore government securities in a day","{""Franklin Templeton"": ""neutral""}",11,{'Franklin Templeton': 'neutral'},,[],0,"Franklin Templeton buys record Rs 16,000-crore government securities in a day",{'Franklin Templeton': 'neutral'},1,neutral,"franklin templeton buys record rs 16,000-crore government securities in a day"
1084,FTIL moves SAT against Sebi order on 'fit and proper' status,"{""FTIL"": ""neutral"", ""SAT"": ""neutral"", ""Sebi"": ""neutral""}",11,"{'FTIL': 'neutral', 'SAT': 'neutral', 'Sebi': 'neutral'}",,[],0,FTIL moves SAT against Sebi order on 'fit and proper' status,"{'FTIL': 'neutral', 'SAT': 'neutral', 'Sebi': 'neutral'}",3,neutral,ftil moves sat against sebi order on 'fit and proper' status
1085,FTIL moves SAT against Sebi order on 'fit and proper' status,"{""FTIL"": ""neutral"", ""SAT"": ""neutral"", ""Sebi"": ""neutral""}",11,"{'FTIL': 'neutral', 'SAT': 'neutral', 'Sebi': 'neutral'}",,[],0,FTIL moves SAT against Sebi order on 'fit and proper' status,"{'FTIL': 'neutral', 'SAT': 'neutral', 'Sebi': 'neutral'}",3,neutral,ftil moves sat against sebi order on 'fit and proper' status
1147,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,"{""Nifty50"": ""neutral""}",11,{'Nifty50': 'neutral'},,[],0,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,{'Nifty50': 'neutral'},1,neutral,nifty50 in a no-trade zone due to holiday-truncated week: sandeep wagle
1149,Nokia India appoints V Sembian as new head of Chennai factory,"{""Nokia India"": ""neutral""}",11,{'Nokia India': 'neutral'},,[],0,Nokia India appoints V Sembian as new head of Chennai factory,{'Nokia India': 'neutral'},1,neutral,nokia india appoints v sembian as new head of chennai factory
1154,"Post RBI policy: Bonds draw comfort from future guidance, rupee steady","{""RBI"": ""neutral"", ""rupee"": ""neutral""}",11,"{'RBI': 'neutral', 'rupee': 'neutral'}",,[],0,"Post RBI policy: Bonds draw comfort from future guidance, rupee steady","{'RBI': 'neutral', 'rupee': 'neutral'}",2,neutral,"post rbi policy: bonds draw comfort from future guidance, rupee steady"
1241,Forward Markets Commission asks bourses not to charge audit fee from members,"{""Forward Markets Commission"": ""neutral""}",12,{'Forward Markets Commission': 'neutral'},,[],0,Forward Markets Commission asks bourses not to charge audit fee from members,{'Forward Markets Commission': 'neutral'},1,neutral,forward markets commission asks bourses not to charge audit fee from members
